Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Solomon Islands,20.5,8.9,0.0,0.0,0.0,0.0,715000.0
South Africa,27.0,6.2,1.089744751,0.0259,0.969185617,0.0947,59628000.0
Spain,27.1,2.5,1.188886323,0.06244778,0.315683846,0.810754697,47635000.0
Sri Lanka,5.4,9.0,0.014742216,5.47e-05,0.013657291,0.001030223,21937000.0
Sudan,7.4,20.1,0.030823964,0.001904262,0.015409701000000001,0.01351,43849000.0
Suriname,26.5,8.5,0.757355372,0.015371901,0.636363636,0.105619835,605000.0
Sweden,22.1,2.5,0.833622434,0.056336128,0.0,0.7772863059999999,10377000.0
Switzerland,21.2,2.5,0.546432708,0.023407459,0.45054436,0.07248089,8634000.0
Taiwan*,8.2,3.5,0.002109276,2.9600000000000005e-05,0.002011859,6.78e-05,23610000.0
Tajikistan,12.6,30.1,0.09596988,0.0007636019999999999,0.082893202,0.012313077,9429000.0
Thailand,10.8,7.8,0.0052228940000000005,8.72e-05,0.004977906,0.000157814,66534000.0
Timor-Leste,2.9,24.9,0.002048558,0.0,0.0018968129999999998,0.000151745,1318000.0
Togo,7.1,16.1,0.0189878,0.000446914,0.014373717,0.00416717,8279000.0
Trinidad and Tobago,19.7,5.5,0.22220599,0.00387,0.056391527000000004,0.161943024,1369000.0
Tunisia,27.3,4.3,0.05577505,0.000899462,0.016736718,0.03813887,11896000.0
Turkey,32.2,2.5,0.347710092,0.008426383,0.309102308,0.030181401,83737000.0
Turkmenistan,17.5,5.4,0.0,0.0,0.0,0.0,6031000.0
Uganda,4.1,41.0,0.010491681000000001,0.000120242,0.004932118,0.0054393209999999996,45741000.0
Ukraine,26.1,3.5,0.3784814970000001,0.00775,0.17098472899999995,0.19974388399999998,41778000.0
United Arab Emirates,29.9,2.6,0.812937206,0.004080589,0.710278175,0.098578441,9778000.0
United Kingdom,29.5,2.5,0.552307921,0.062115843,0.003195354,0.486996724,67160000.0
United Republic of Tanzania,7.1,30.7,0.000852111,3.52e-05,0.000306358,0.000510597,59734000.0
United States of America,37.3,2.5,1.976358836,0.058831144,0.7431250340000001,1.174402658,329878000.0
Uruguay,28.9,2.5,0.051203625,0.001274427,0.042849051,0.0070801469999999984,3531000.0
Uzbekistan,15.3,6.3,0.138371276,0.001141218,0.128360742,0.008869316,34174000.0
Vanuatu,23.5,7.2,0.0,0.0,0.0,0.0,321000.0
Venezuela (Bolivarian Republic of),25.2,21.2,0.211345785,0.00169314,0.169816722,0.039835922,28645000.0
Vietnam,2.1,9.3,0.001104886,3.63791e-05,0.000954173,0.000114334,96209000.0
Yemen,14.1,38.9,0.006742439,0.00195467,0.004063569,0.0007242,29826000.0
Zambia,6.5,46.7,0.073645561,0.0016971279999999998,0.066688425,0.005260009,18384000.0
Zimbabwe,12.3,51.3,0.050635807000000005,0.001507098,0.038202247,0.010926462,14863000.0
